"recipe_id","recipe","category","sub_category","quantity","quantity_unit","price","unit_price","unit_cost_raw","ingredients"
"1344","CHOCOLATE CHIPS BANANA BREAD (10)","BREAD","","9.00","PCS","₦ 9,970.20","₦ 1,107.80","1107.8","WHITE FLOUR (69815) (qty:770.0000 G 0.0000% | cost:) | GRANULATED SUGAR (68701) (qty:770.0000 G 0.0000% | cost:) | EGG (69070) (qty:8.0000 PCS 0.0000% | cost:) | GREEK YOUGHURT (69175) (qty:8.0000 G 0.0000% | cost:) | VEGETABLE OIL (69789) (qty:330.0000 ML 0.0000% | cost:) | BANANA FRUIT (68762) (qty:800.0000 G 0.0000% | cost:) | BAKING POWDER (68753) (qty:20.0000 G 0.0000% | cost:) | BAKING SODA (68754) (qty:25.0000 G 0.0000% | cost:) | SALT (69547) (qty:3.0000 G 0.0000% | cost:) | DARK CHOCOLATE CHIP (69037) (qty:450.0000 G 0.0000% | cost:)"
"1257","CHOCOLATE CHIP MILKSHAKE (70825)","Milkshakes","","1.00","CU","₦ 2,965.20","₦ 2,965.20","2965.2","DEATH BY CHOCOLATE GELATO (70067) (qty:100.0000 G 0.0000% | cost:) | DARK CHOCOLATE CHIP (69037) (qty:30.0000 G 0.0000% | cost:) | UHT MILK (69749) (qty:25.0000 G 0.0000% | cost:) | CONDENSED MILK (68980) (qty:30.0000 ML 0.0000% | cost:) | WHIPPING CREAM (69807) (qty:30.0000 G 0.0000% | cost:) | ICE (70436) (qty:120.0000 G 0.0000% | cost:)"
"1126","CHOCOLATE CHIP COOKIES (69988)","COOKIES","","9.00","PCS","₦ 8,969.26","₦ 996.58","996.58444444444","WHITE FLOUR (69815) (qty:310.0000 G 0.0000% | cost:) | GRANULATED SUGAR (68701) (qty:150.0000 G 0.0000% | cost:) | UNSALTED BUTTER (69753) (qty:225.0000 G 0.0000% | cost:) | EGG (69070) (qty:2.0000 PCS 0.0000% | cost:) | SALT (69547) (qty:6.0000 G 0.0000% | cost:) | BAKING SODA (68754) (qty:5.0000 G 0.0000% | cost:) | VANILLA EXTRACT (69763) (qty:5.0000 G 0.0000% | cost:) | BROWN SUGAR (68847) (qty:165.0000 G 0.0000% | cost:) | BAKING POWDER (68753) (qty:2.0000 G 0.0000% | cost:) | DARK CHOCOLATE CHIP (69037) (qty:250.0000 G 0.0000% | cost:)"
"1270","CHOCOLATE BUCHE DE NOEL (70969)","PASTRY","","8.00","PCS","₦ 12,539.80","₦ 1,567.48","1567.475","WHITE FLOUR (69815) (qty:900.0000 G 0.0000% | cost:) | GRANULATED SUGAR (68701) (qty:900.0000 G 0.0000% | cost:) | EGG (69070) (qty:36.0000 PCS 0.0000% | cost:) | UHT MILK (69749) (qty:90.0000 G 0.0000% | cost:) | VEGETABLE OIL (69789) (qty:90.0000 ML 0.0000% | cost:) | SALT (69547) (qty:6.0000 G 0.0000% | cost:) | VANILLA EXTRACT (69763) (qty:10.0000 G 0.0000% | cost:) | COCOA POWDER (68961) (qty:100.0000 G 0.0000% | cost:)"
"1168","CHOCOBISCOTTO GELATO (70582)","GELATO","","3,200.00","G","₦ 129,289.20","₦ 40.40","40.402875","BASE ALBA (68768) (qty:3000.0000 G 0.0000% | cost:) | CHOCOBISCOTTO (PASTA E74) (68924) (qty:240.0000 G 0.0000% | cost:) | VARIEGATO CHOCOBISCOTTO (69772) (qty:100.0000 G 0.0000% | cost:)"
"959","CHOCO RUM GELATO (69987)","ICE CREAM","","3,428.00","PCS","₦ 121,170.00","₦ 35.35","35.347141190198","VARIEGATO GUSTO WHISKY (69785) (qty:80.0000 G 0.0000% | cost:) | BASE ALBA (68768) (qty:3000.0000 G 0.0000% | cost:) | PASTA CHOCORUM (68944) (qty:240.0000 G 0.0000% | cost:)"
"962","CHOCO COCONUT GELATO (68607)","ICE CREAM","","3,082.00","CU","₦ 121,170.00","₦ 39.32","39.315379623621","BASE ALBA (68768) (qty:3000.0000 G 0.0000% | cost:) | VARIEGATO MECRAPH (70505) (qty:66.0000 CU 0.0000% | cost:) | MECRAPH GELATO (70202) (qty:240.0000 CU 0.0000% | cost:)"
"1002","CHICKEN WRAP (69983)","Bites","","10.00","PCS","₦ 9,288.45","₦ 928.85","928.845","LETTUCE (69294) (qty:10.0000 G 0.0000% | cost:) | FRESH TOMATOES (69122) (qty:40.0000 G 0.0000% | cost:) | BIG TORTILLA BREAD (68783) (qty:10.0000 PCS 0.0000% | cost:) | KETCHUP & MAYO (WIP) (70462) (qty:25.0000 G 0.0000% | cost:) | VEGETABLE OIL (69789) (qty:10.0000 ML 0.0000% | cost:) | MARINATED CHICKEN FILLET (WIP) (70460) (qty:80.0000 G 0.0000% | cost:) | GREEN BELL PEPPER (69177) (qty:40.0000 G 0.0000% | cost:)"
"1050","CHICKEN TENDER MIX (WIP) (70531)","CHICKEN","","539.00","G","₦ 2,087.09","₦ 3.87","3.8721521335807","WHITE FLOUR (69815) (qty:500.0000 G 0.0000% | cost:) | PAPRIKA (69407) (qty:7.0000 G 0.0000% | cost:) | ONION POWDER. (69387) (qty:7.0000 G 0.0000% | cost:) | RED CHILLI POWDER (69531) (qty:7.0000 G 0.0000% | cost:) | WHITE PEPPER POWDER. (69818) (qty:7.0000 G 0.0000% | cost:) | BLACK PEPPER POWDER (68816) (qty:3.0000 G 0.0000% | cost:) | SALT (69547) (qty:5.0000 G 0.0000% | cost:) | GARLIC POWDER (69132) (qty:7.0000 G 0.0000% | cost:)"
"1053","CHICKEN SAUSAGE (69981)","Side Pieces","","1.00","PCS","₦ 609.86","₦ 609.86","609.86","SAUSAGE (69559) (qty:2.0000 PCS 0.0000% | cost:) | VEGETABLE OIL (69789) (qty:10.0000 ML 0.0000% | cost:)"
